lga,state,latitude,longitude,current_stock_level,fridge_temperature_celsius,predicted_stockout_risk
Ajingi,Kano,11.93275704,9.034592871,5482,17.617272727272727,0.2925663099681727
Ajingi,Kano,11.984654,9.133028,2815,17.95111111111111,0.27883571154331943
Albasu,Kano,11.627,9.151,4073,13.578,0.28976681124596465
Albasu,Kano,11.723773,8.932581,4246,13.842727272727274,0.3297883641042526
Auyo,Jigawa,12.2457794,9.8798986,1543,15.892,0.41488000689968096
Auyo,Jigawa,12.2704195,9.9262541,1801,17.955555555555556,0.33462322763526026
Babura,Jigawa,12.6483593,8.8900623,1416,21.2925,0.25155154839185073
Babura,Jigawa,12.7045029,8.9701653,1415,13.686250000000001,0.3654590832486446
Bagwai,Kano,12.102407,7.994044,6159,14.058181818181819,0.29457326551218765
Bagwai,Kano,12.12431108,8.077518554,6921,14.178,0.24709041781718247
Bakori,Katsina,11.53656361,7.363524228,758,16.911666666666665,0.3955602476947655
Bakori,Katsina,11.685818,7.33931218,2173,20.0825,0.2765663420446886
Batagarawa,Katsina,12.86273333,7.442746667,615,19.97,0.3284548858410855
Batagarawa,Katsina,12.996545,7.732171667,1251,21.2225,0.17687402238417993
Batsari,Katsina,12.84713288,7.282825711,2849,17.990000000000002,0.34830418158882626
Batsari,Katsina,12.93978,7.235351667,1031,15.394,0.3299584943632478
Baure,Katsina,12.79591,8.740895,2939,15.821818181818182,0.3564864059021568
Baure,Katsina,12.850757,8.67531,1320,18.92833333333333,0.35760682209829286
Bebeji,Kano,11.409326,8.314452,3058,10.163,0.3581614418691075
Bebeji,Kano,11.59194859,8.35778813,4629,15.686250000000001,0.2570361448029516
Bichi,Kano,12.300918,8.443265,4982,15.400909090909092,0.0006060606060606061
Bichi,Kano,12.380523,8.147549,5546,14.682142857142857,0.3162396987765166
Bindawa,Katsina,12.72206667,7.830065,1425,11.8825,0.4450663082059539
Bindawa,Katsina,12.72466,7.861308333,1158,19.298,0.35821535001786187
Birnin Gwari,Katsina,11.317399,7.011428,1604,18.194,0.24351100373368287
Birnin Kudu,Jigawa,11.4168143,9.6149566,664,17.093333333333334,0.3476909514291668
Birnin Kudu,Jigawa,11.6751604,9.5638707,1409,17.356,0.30331506679576575
Birniwa,Jigawa,12.733739,9.962733,2128,18.24,0.24255181234189827
Birniwa,Jigawa,12.911089,10.1005526,2481,18.98909090909091,0.3051527523330605
Buji,Jigawa,11.450644,9.696123,1188,20.272857142857145,0.3159919402610518
Buji,Jigawa,11.469779,9.770064,1052,18.544444444444444,0.3795635010078695
Bunkure,Kano,11.67918831,8.717330854,3903,18.26888888888889,0.0
Bunkure,Kano,11.68954,8.42337,2924,10.941,0.36360134080988865
Charanchi,Katsina,12.442526,7.706333,798,21.243333333333332,0.16678285900469098
Charanchi,Katsina,12.712076,7.619743,987,20.704,0.0
Dala,Kano,12.00622,8.51001,4758,9.042499999999999,0.3904164461723454
Dala,Kano,12.0090136,8.5143982,3236,17.185,0.2867246955537943
Dan Musa,Katsina,12.1342433,7.5232167,1438,17.29375,0.32028990870453106
Dan Musa,Katsina,12.223565,7.351621,1237,19.89142857142857,0.0
Danbatta,Kano,12.357899,8.749188,3351,19.462,0.28907334803664514
Danbatta,Kano,12.48822824,8.476077811,3498,20.66142857142857,0.2331626659809635
Dandume,Katsina,11.3333791,7.2013383,947,21.236,0.2721638300529123
Dandume,Katsina,11.4477691,7.084358,2200,16.763333333333335,0.33532308053384297
Danja,Katsina,11.34487,7.71029,487,21.645,0.14598896597573965
Danja,Katsina,11.38841,7.497637,1589,19.451666666666668,0.2654253037407436
Daura,Katsina,13.024766,8.308871,2696,12.324444444444444,0.0
Daura,Katsina,13.02732,8.3318167,1404,10.217142857142857,0.3531305721852866
Dawakin Kudu,Kano,11.77229633,8.763639536,6947,17.996666666666666,0.29673414498009143
Dawakin Kudu,Kano,11.84732263,8.530283841,6043,12.748571428571427,0.3254142061557246
Dawakin Tofa,Kano,12.05056,8.37907,6764,6.9947058823529416,0.000392156862745098
Dawakin Tofa,Kano,12.16298497,8.357696608,10553,10.097058823529412,0.25232862282659185
Doguwa,Kano,10.72901743,8.619294659,6241,16.53909090909091,0.24818034582952836
Doguwa,Kano,10.73223534,8.582787971,6006,8.183333333333334,0.2802419514483971
Dutse,Jigawa,11.6309474,9.3396355,1929,16.005,0.35185519235033497
Dutsi,Katsina,12.93783,8.154572,1182,17.345000000000002,0.2780521696178185
Dutsi,Katsina,12.96554,8.18839,574,19.97,0.00020202020202020202
Dutsin-Ma,Katsina,12.400705,7.483636667,1391,15.388571428571428,0.35970254204371593
Dutsin-Ma,Katsina,12.40246141,7.430670967,1727,17.60666666666667,0.0
Fagge,Kano,12.026586,8.53194,5870,15.168333333333331,0.0
Fagge,Kano,12.05452,8.47903,6275,18.465,0.21140898805496514
Faskari,Katsina,11.782342,7.037581,1595,19.38142857142857,0.36364893023246025
Faskari,Katsina,11.7836954,7.0775805,1256,19.078333333333333,0.34712941327703467
Funtua,Katsina,11.4881,7.3098,605,20.6225,0.0
Funtua,Katsina,11.51989,7.31521,1259,17.302000000000003,0.3109784098513489
Gabasawa,Kano,12.138907,8.862188,2509,17.415000000000003,0.35815093615542354
Gabasawa,Kano,12.204273,8.884345,2049,19.447142857142858,0.33453911494418126
Gagarawa,Jigawa,12.5473635,9.5343443,2443,17.01833333333333,0.3113611202787315
Gagarawa,Jigawa,12.5829006,9.4668934,2106,18.915454545454548,0.38111634269327865
Garki,Jigawa,12.326832,9.106221,946,17.83875,0.38434254655950545
Garki,Jigawa,12.4357228,9.1858759,1108,11.966666666666665,0.4421234372703554
Garko,Kano,11.476231,8.824999,3999,17.310999999999996,0.358130203818187
Garko,Kano,11.6425235,8.800669,5824,17.7325,0.2805288352694402
Garum Mallam,Kano,11.644432,8.411452,7160,12.68,0.3271710848939009
Garum Mallam,Kano,11.695721,8.437705,6425,18.615000000000002,0.18257547150201306
Gaya,Kano,11.86213,9.00813,3078,13.791428571428572,0.0009523809523809524
Gaya,Kano,11.865061,9.005146,7298,6.707857142857144,0.27639242601658115
